,description,category
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_0.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_1.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_2.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_3.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_4.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_5.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_6.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_7.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_8.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_10.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', '1_year_follow_up_y_arm_1')_12.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_0.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_1.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_2.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_3.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_4.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_5.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_6.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_7.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_8.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_hours', 'baseline_year_1_arm_1')_10.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Hours/ Horas",Deep Phenotyping Assessments
"('screentime2_p_minutes', '1_year_follow_up_y_arm_1')_0.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Minutes/ Minutos:",Deep Phenotyping Assessments
"('screentime2_p_minutes', '1_year_follow_up_y_arm_1')_15.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Minutes/ Minutos:",Deep Phenotyping Assessments
"('screentime2_p_minutes', '1_year_follow_up_y_arm_1')_30.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Minutes/ Minutos:",Deep Phenotyping Assessments
"('screentime2_p_minutes', '1_year_follow_up_y_arm_1')_45.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Minutes/ Minutos:",Deep Phenotyping Assessments
"('screentime2_p_minutes', 'baseline_year_1_arm_1')_0.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Minutes/ Minutos:",Deep Phenotyping Assessments
"('screentime2_p_minutes', 'baseline_year_1_arm_1')_15.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Minutes/ Minutos:",Deep Phenotyping Assessments
"('screentime2_p_minutes', 'baseline_year_1_arm_1')_20.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Minutes/ Minutos:",Deep Phenotyping Assessments
"('screentime2_p_minutes', 'baseline_year_1_arm_1')_30.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Minutes/ Minutos:",Deep Phenotyping Assessments
"('screentime2_p_minutes', 'baseline_year_1_arm_1')_45.0","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?/ En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico? Minutes/ Minutos:",Deep Phenotyping Assessments
"('screen1_wkdy_y', '1_year_follow_up_y_arm_1')_0.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', '1_year_follow_up_y_arm_1')_0.25","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', '1_year_follow_up_y_arm_1')_0.5","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', '1_year_follow_up_y_arm_1')_1.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', '1_year_follow_up_y_arm_1')_2.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', '1_year_follow_up_y_arm_1')_3.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', '1_year_follow_up_y_arm_1')_4.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', 'baseline_year_1_arm_1')_0.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', 'baseline_year_1_arm_1')_0.25","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', 'baseline_year_1_arm_1')_0.5","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', 'baseline_year_1_arm_1')_1.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', 'baseline_year_1_arm_1')_2.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', 'baseline_year_1_arm_1')_3.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen1_wkdy_y', 'baseline_year_1_arm_1')_4.0","On a typical weekday, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen2_wkdy_y', '1_year_follow_up_y_arm_1')_0.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', '1_year_follow_up_y_arm_1')_0.25","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', '1_year_follow_up_y_arm_1')_0.5","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', '1_year_follow_up_y_arm_1')_1.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', '1_year_follow_up_y_arm_1')_2.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', '1_year_follow_up_y_arm_1')_3.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', '1_year_follow_up_y_arm_1')_4.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', 'baseline_year_1_arm_1')_0.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', 'baseline_year_1_arm_1')_0.25","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', 'baseline_year_1_arm_1')_0.5","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', 'baseline_year_1_arm_1')_1.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', 'baseline_year_1_arm_1')_2.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', 'baseline_year_1_arm_1')_3.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen2_wkdy_y', 'baseline_year_1_arm_1')_4.0","On a typical weekday, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', '1_year_follow_up_y_arm_1')_0.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', '1_year_follow_up_y_arm_1')_0.25","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', '1_year_follow_up_y_arm_1')_0.5","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', '1_year_follow_up_y_arm_1')_1.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', '1_year_follow_up_y_arm_1')_2.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', '1_year_follow_up_y_arm_1')_3.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', '1_year_follow_up_y_arm_1')_4.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', 'baseline_year_1_arm_1')_0.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', 'baseline_year_1_arm_1')_0.25","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', 'baseline_year_1_arm_1')_0.5","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', 'baseline_year_1_arm_1')_1.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', 'baseline_year_1_arm_1')_2.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', 'baseline_year_1_arm_1')_3.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen3_wkdy_y', 'baseline_year_1_arm_1')_4.0","On a typical weekday, how many hours do you: Play video games on a computer, console, phone or other device (Xbox, Play Station, iPad)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', '1_year_follow_up_y_arm_1')_0.0","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', '1_year_follow_up_y_arm_1')_0.25","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', '1_year_follow_up_y_arm_1')_0.5","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', '1_year_follow_up_y_arm_1')_1.0","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', '1_year_follow_up_y_arm_1')_2.0","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', '1_year_follow_up_y_arm_1')_3.0","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', '1_year_follow_up_y_arm_1')_4.0","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', 'baseline_year_1_arm_1')_0.0","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', 'baseline_year_1_arm_1')_0.25","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', 'baseline_year_1_arm_1')_0.5","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', 'baseline_year_1_arm_1')_1.0","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', 'baseline_year_1_arm_1')_2.0","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen4_wkdy_y', 'baseline_year_1_arm_1')_4.0","On a typical weekday, how many hours do you: Text on a cell phone, tablet, or computer (e.g. GChat, Whatsapp, etc.)?",Deep Phenotyping Assessments
"('screen5_wkdy_y', '1_year_follow_up_y_arm_1')_0.0","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen5_wkdy_y', '1_year_follow_up_y_arm_1')_0.25","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen5_wkdy_y', '1_year_follow_up_y_arm_1')_0.5","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen5_wkdy_y', '1_year_follow_up_y_arm_1')_1.0","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen5_wkdy_y', '1_year_follow_up_y_arm_1')_2.0","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen5_wkdy_y', '1_year_follow_up_y_arm_1')_4.0","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen5_wkdy_y', 'baseline_year_1_arm_1')_0.0","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen5_wkdy_y', 'baseline_year_1_arm_1')_0.25","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen5_wkdy_y', 'baseline_year_1_arm_1')_0.5","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen5_wkdy_y', 'baseline_year_1_arm_1')_1.0","On a typical weekday, how many hours do you: Visit social networking sites like Facebook, Twitter, Instagram, etc.?",Deep Phenotyping Assessments
"('screen_wkdy_y', '1_year_follow_up_y_arm_1')_0.0","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen_wkdy_y', '1_year_follow_up_y_arm_1')_0.25","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen_wkdy_y', '1_year_follow_up_y_arm_1')_0.5","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen_wkdy_y', '1_year_follow_up_y_arm_1')_1.0","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen_wkdy_y', '1_year_follow_up_y_arm_1')_2.0","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen_wkdy_y', '1_year_follow_up_y_arm_1')_4.0","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen_wkdy_y', 'baseline_year_1_arm_1')_0.0","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen_wkdy_y', 'baseline_year_1_arm_1')_0.25","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen_wkdy_y', 'baseline_year_1_arm_1')_0.5","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen_wkdy_y', 'baseline_year_1_arm_1')_1.0","On a typical weekday, how many hours do you: Video chat (Skype, Facetime, etc.)?",Deep Phenotyping Assessments
"('screen7_wknd_y', '1_year_follow_up_y_arm_1')_0.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', '1_year_follow_up_y_arm_1')_0.25","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', '1_year_follow_up_y_arm_1')_0.5","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', '1_year_follow_up_y_arm_1')_1.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', '1_year_follow_up_y_arm_1')_2.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', '1_year_follow_up_y_arm_1')_3.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', '1_year_follow_up_y_arm_1')_4.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', 'baseline_year_1_arm_1')_0.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', 'baseline_year_1_arm_1')_0.25","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', 'baseline_year_1_arm_1')_0.5","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', 'baseline_year_1_arm_1')_1.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', 'baseline_year_1_arm_1')_2.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', 'baseline_year_1_arm_1')_3.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen7_wknd_y', 'baseline_year_1_arm_1')_4.0","On a typical weekend day, how many hours do you: Watch TV shows or movies?",Deep Phenotyping Assessments
"('screen8_wknd_y', '1_year_follow_up_y_arm_1')_0.0","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', '1_year_follow_up_y_arm_1')_0.25","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', '1_year_follow_up_y_arm_1')_0.5","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', '1_year_follow_up_y_arm_1')_1.0","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', '1_year_follow_up_y_arm_1')_2.0","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', '1_year_follow_up_y_arm_1')_3.0","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', '1_year_follow_up_y_arm_1')_4.0","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', 'baseline_year_1_arm_1')_0.0","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', 'baseline_year_1_arm_1')_0.25","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', 'baseline_year_1_arm_1')_0.5","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', 'baseline_year_1_arm_1')_1.0","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', 'baseline_year_1_arm_1')_2.0","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
"('screen8_wknd_y', 'baseline_year_1_arm_1')_3.0","On a typical weekend day, how many hours do you: Watch videos (such as YouTube)?",Deep Phenotyping Assessments
